date,jobs_page_views_desktop,jobs_page_views_mobile,jobs_page_views_total,jobs_unique_visitors_desktop,jobs_unique_visitors_mobile,jobs_unique_visitors_total,life_page_views_desktop,life_page_views_mobile,life_page_views_total,life_unique_visitors_desktop,life_unique_visitors_mobile,life_unique_visitors_total,overview_page_views_desktop,overview_page_views_mobile,overview_page_views_total,overview_unique_visitors_desktop,overview_unique_visitors_mobile,overview_unique_visitors_total,total_page_views_desktop,total_page_views_mobile,total_page_views_total,total_unique_visitors_desktop,total_unique_visitors_mobile,total_unique_visitors_total
2022-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,5,5,0,16,16,0,5,5
2022-06-13,0,0,0,0,0,0,0,0,0,0,0,0,5,13,18,5,5,10,6,16,22,5,5,10
2022-06-14,0,0,0,0,0,0,0,0,0,0,0,0,14,13,27,9,7,16,17,20,37,9,7,16
2022-06-15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,3,0,3
2022-06-16,1,0,1,1,0,1,0,0,0,0,0,0,4,9,13,4,5,9,7,11,18,4,5,9
2022-06-17,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,2,4,6,4,7,11,2,4,6
2022-06-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
2022-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-20,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,5,0,5,8,0,8,5,0,5
2022-06-21,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22,5,4,9,13,14,27,6,4,10
2022-06-22,0,0,0,0,0,0,0,0,0,0,0,0,8,1,9,4,1,5,9,1,10,4,1,5
2022-06-23,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9,3,2,5,8,2,10,3,2,5
2022-06-24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,7,0,7,5,0,5
2022-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-26,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,2,0,10,10,0,2,2
2022-06-27,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,3,0,3
2022-06-28,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,2,4,0,4,2,0,2
2022-06-29,0,0,0,0,0,0,0,0,0,0,0,0,15,2,17,8,1,9,15,3,18,8,1,9
2022-06-30,0,3,3,0,1,1,0,0,0,0,0,0,11,17,28,5,4,9,12,27,39,5,4,9
2022-07-01,0,1,1,0,1,1,0,0,0,0,0,0,7,11,18,5,3,8,8,16,24,5,3,8
2022-07-02,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,1,3,2,2,4,2,1,3
2022-07-03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
2022-07-04,0,0,0,0,0,0,0,0,0,0,0,0,12,17,29,8,9,17,15,23,38,8,9,17
2022-07-05,0,0,0,0,0,0,0,0,0,0,0,0,17,8,25,4,5,9,17,9,26,4,5,9
2022-07-06,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24,7,8,15,13,17,30,7,8,15
2022-07-07,0,0,0,0,0,0,0,0,0,0,0,0,8,25,33,7,10,17,8,33,41,7,10,17
2022-07-08,0,2,2,0,1,1,0,0,0,0,0,0,0,8,8,0,5,5,0,15,15,0,5,5
2022-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,2,2,0,18,18,0,2,2
2022-07-10,0,1,1,0,1,1,0,0,0,0,0,0,0,5,5,0,3,3,0,8,8,0,3,3
2022-07-11,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19,5,5,10,11,10,21,5,5,10
2022-07-12,0,0,0,0,0,0,0,0,0,0,0,0,21,9,30,9,6,15,22,10,32,9,6,15
2022-07-13,0,1,1,0,1,1,0,0,0,0,0,0,19,7,26,12,5,17,21,9,30,12,5,17
2022-07-14,0,1,1,0,1,1,0,0,0,0,0,0,27,16,43,12,7,19,29,19,48,12,7,19
2022-07-15,0,0,0,0,0,0,0,0,0,0,0,0,12,14,26,5,5,10,13,33,46,5,5,10
2022-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-18,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,10,0,10,31,0,31,10,0,10
2022-07-19,0,0,0,0,0,0,0,0,0,0,0,0,21,6,27,8,2,10,22,10,32,8,2,10
2022-07-20,1,0,1,1,0,1,0,0,0,0,0,0,36,16,52,11,5,16,38,23,61,11,5,16
2022-07-21,0,0,0,0,0,0,0,0,0,0,0,0,26,22,48,11,6,17,27,41,68,11,6,17
2022-07-22,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18,8,3,11,10,8,18,8,3,11
2022-07-23,0,0,0,0,0,0,0,0,0,0,0,0,2,15,17,1,5,6,4,26,30,1,5,6
2022-07-24,1,1,2,1,1,2,0,0,0,0,0,0,4,4,8,4,1,5,5,6,11,4,2,6
2022-07-25,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,6,0,6,12,0,12,6,0,6
2022-07-26,0,1,1,0,1,1,0,0,0,0,0,0,14,7,21,5,4,9,16,9,25,5,4,9
2022-07-27,0,0,0,0,0,0,0,0,0,0,0,0,29,17,46,10,9,19,29,25,54,10,9,19
2022-07-28,0,0,0,0,0,0,0,0,0,0,0,0,8,25,33,5,8,13,8,38,46,5,8,13
2022-07-29,0,7,7,0,2,2,0,0,0,0,0,0,30,9,39,8,3,11,33,31,64,8,3,11
2022-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-31,0,0,0,0,0,0,0,0,0,0,0,0,6,13,19,1,3,4,7,18,25,1,3,4
2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,24,17,41,10,7,17,26,26,52,10,7,17
2022-08-02,1,0,1,1,0,1,0,0,0,0,0,0,20,5,25,11,4,15,22,6,28,11,4,15
2022-08-03,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,24,0,24,46,0,46,24,0,24
2022-08-04,1,0,1,1,0,1,0,0,0,0,0,0,34,0,34,14,0,14,38,0,38,14,0,14
2022-08-05,0,1,1,0,1,1,0,0,0,0,0,0,18,16,34,13,5,18,22,19,41,13,5,18
2022-08-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
2022-08-07,0,0,0,0,0,0,0,0,0,0,0,0,1,13,14,1,6,7,1,28,29,1,6,7
2022-08-08,0,0,0,0,0,0,0,0,0,0,0,0,14,4,18,7,3,10,14,6,20,7,3,10
2022-08-09,0,0,0,0,0,0,0,0,0,0,0,0,27,16,43,16,9,25,32,17,49,16,9,25
2022-08-10,0,1,1,0,1,1,0,0,0,0,0,0,23,0,23,13,0,13,25,1,26,13,1,14
2022-08-11,0,1,1,0,1,1,0,0,0,0,0,0,14,66,80,11,23,34,14,109,123,11,23,34
2022-08-12,1,0,1,1,0,1,0,0,0,0,0,0,22,0,22,10,0,10,26,0,26,10,0,10
2022-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
2022-08-15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,9,0,9,16,0,16,9,0,9
2022-08-16,1,0,1,1,0,1,0,0,0,0,0,0,28,0,28,19,0,19,33,0,33,19,0,19
2022-08-17,0,2,2,0,1,1,0,0,0,0,0,0,45,39,84,25,24,47,52,65,117,25,24,47
2022-08-18,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,10,0,10,25,0,25,10,0,10
2022-08-19,1,0,1,1,0,1,0,0,0,0,0,0,31,17,48,18,7,25,40,29,69,18,7,25
2022-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,10,10,0,30,30,0,10,10
2022-08-21,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,7,7,0,20,20,0,7,7
2022-08-22,4,1,5,3,1,4,0,0,0,0,0,0,50,60,110,24,29,53,55,81,136,24,29,53
2022-08-23,1,1,2,1,1,2,0,0,0,0,0,0,178,3,181,111,1,112,187,7,194,111,2,113
2022-08-24,2,7,9,2,2,4,0,0,0,0,0,0,198,7,205,108,4,112,223,14,237,108,6,114
2022-08-25,0,8,8,0,5,5,0,0,0,0,0,0,118,192,310,65,79,142,126,286,412,65,79,142
2022-08-26,1,1,2,1,1,2,0,0,0,0,0,0,44,3,47,28,1,29,51,4,55,28,2,30
2022-08-27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
2022-08-28,0,2,2,0,1,1,0,0,0,0,0,0,2,4,6,2,2,4,2,6,8,2,3,5
2022-08-29,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14,5,3,8,6,11,17,5,3,8
2022-08-30,1,3,4,1,3,4,0,0,0,0,0,0,72,1,73,39,1,40,81,4,85,39,3,42
2022-08-31,1,1,2,1,1,2,0,0,0,0,0,0,54,1,55,39,1,40,61,2,63,39,2,41
2022-09-01,0,4,4,0,3,3,0,0,0,0,0,0,65,93,158,45,45,90,71,134,205,45,45,90
2022-09-02,0,3,3,0,2,2,0,0,0,0,0,0,28,74,102,19,32,50,33,109,142,19,32,50
2022-09-03,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,3,0,3
2022-09-04,0,3,3,0,2,2,0,0,0,0,0,0,8,30,38,5,16,21,12,39,51,5,16,21
2022-09-05,0,0,0,0,0,0,0,0,0,0,0,0,47,48,95,23,23,46,49,75,124,23,23,46
2022-09-06,0,3,3,0,1,1,0,0,0,0,0,0,45,2,47,30,1,31,49,8,57,30,2,32
2022-09-07,0,1,1,0,1,1,0,0,0,0,0,0,67,81,148,48,41,89,74,103,177,48,41,89
2022-09-08,2,0,2,2,0,2,0,0,0,0,0,0,51,67,118,28,28,56,60,88,148,28,28,56
2022-09-09,0,0,0,0,0,0,0,0,0,0,0,0,33,34,67,16,18,34,34,44,78,16,18,34
2022-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,13,13,0,50,50,0,13,13
2022-09-11,0,6,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,4,4
2022-09-12,0,2,2,0,2,2,0,0,0,0,0,0,97,80,177,50,44,92,104,116,220,50,44,92
2022-09-13,1,1,2,1,1,2,0,0,0,0,0,0,70,2,72,44,2,46,76,3,79,44,3,47
2022-09-14,0,4,4,0,1,1,0,0,0,0,0,0,69,125,194,46,59,105,70,200,270,46,59,105
2022-09-15,0,2,2,0,2,2,0,0,0,0,0,0,59,0,59,34,0,34,62,2,64,34,2,36
2022-09-16,1,5,6,1,5,6,0,0,0,0,0,0,102,201,303,63,95,154,125,285,410,63,95,154
2022-09-17,0,2,2,0,1,1,0,0,0,0,0,0,4,110,114,4,38,42,4,177,181,4,38,42
2022-09-18,0,0,0,0,0,0,0,0,0,0,0,0,4,66,70,3,33,36,4,113,117,3,33,36
2022-09-19,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,6,0,6,12,0,12,6,0,6
2022-09-20,1,13,14,1,6,7,0,0,0,0,0,0,195,0,195,105,0,105,216,13,229,105,6,111
2022-09-21,1,9,10,1,7,8,0,0,0,0,0,0,173,15,188,108,7,115,191,27,218,108,14,122
2022-09-22,1,4,5,1,3,4,0,0,0,0,0,0,126,183,309,82,90,170,140,265,405,83,90,171
2022-09-23,1,3,4,1,3,4,0,0,0,0,0,0,73,139,212,32,71,102,84,193,277,33,71,103
2022-09-24,0,2,2,0,1,1,0,0,0,0,0,0,7,96,103,7,49,56,7,134,141,7,49,56
2022-09-25,0,1,1,0,1,1,0,0,0,0,0,0,12,0,12,9,0,9,14,1,15,9,1,10
2022-09-26,0,0,0,0,0,0,0,0,0,0,0,0,90,111,201,46,55,101,98,168,266,46,55,101
2022-09-27,1,1,2,1,1,2,0,0,0,0,0,0,83,115,198,59,52,111,96,191,287,59,52,111
2022-09-28,0,2,2,0,1,1,0,0,0,0,0,0,78,149,227,42,76,116,87,210,297,42,76,116
2022-09-29,1,10,11,1,6,7,0,0,0,0,0,0,110,275,385,53,134,186,119,400,519,53,134,186
2022-09-30,1,5,6,1,5,6,0,0,0,0,0,0,135,221,356,54,106,159,137,345,482,54,106,159
2022-10-01,0,3,3,0,3,3,0,0,0,0,0,0,13,72,85,9,41,50,16,107,123,9,41,50
2022-10-02,0,2,2,0,2,2,0,0,0,0,0,0,3,49,52,1,26,27,3,90,93,1,26,27
2022-10-03,0,0,0,0,0,0,0,0,0,0,0,0,47,76,123,24,34,58,50,117,167,24,34,58
2022-10-04,0,0,0,0,0,0,0,0,0,0,0,0,28,62,90,16,33,48,29,103,132,16,33,48
2022-10-05,1,1,2,1,1,2,0,0,0,0,0,0,20,38,58,13,23,36,22,52,74,13,23,36
2022-10-06,1,2,3,1,1,2,0,0,0,0,0,0,15,2,17,10,1,11,17,4,21,10,2,12
2022-10-07,0,1,1,0,1,1,0,0,0,0,0,0,6,18,24,5,9,14,6,31,37,5,9,14
2022-10-08,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,2,5,7,4,9,13,2,5,7
2022-10-09,0,0,0,0,0,0,0,0,0,0,0,0,26,9,35,4,5,9,26,12,38,4,5,9
2022-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
